"","MIF","GALECTIN","SELPLG","SELL","CD52","PARs","COLLAGEN","ICAM","APP","MHC-I","THBS","LAMININ","TGFb","SEMA4","ITGAL-ITGB2","VCAM","FN1","MHC-II","SPP1","CCL","MK","ANGPTL","PTN","VISFATIN","CD34","CD45","GRN","PECAM1","TNF","TENASCIN","IL2","CXCL","ADIPONECTIN","CD22","FLT3","PSAP","BST2","VEGF","JAM","IL16","NOTCH","CLEC","LIGHT","ANNEXIN","THY1","LT","COMPLEMENT","BAFF","ESAM","FGF","KIT","NCAM","CD39","ANGPT","IL7","EPHA","CSF","IGF","PDGF","IL1","CD200","OSM","NRXN","CD86","GAS","EPHB","WNT","CD96","CD23","LCK","LAIR1","TWEAK","ALCAM","CD6","VWF","SN","BSP","CEACAM","SELE","ICOS","CDH5","GDF","CADM","LIFR","PROS","IL4","NKG2D","IL10","IFN-II","SEMA3","SEMA7","HSPG","TRAIL","RANKL","PERIOSTIN","MPZ","SEMA6","CDH","AGRN","NRG","ENHO","CD80","GH","GP1BA","CALCR","VISTA","VTN","IL6","L1CAM","HGF","GDNF","SEMATOSTATIN","MAG","IL12","ncWNT","CD226","PVR","CLDN","XCR","PD-L1","SEMA5","DMP1","HH","CD1D2","NODAL","BTLA","SLURP","ACTIVIN","CHEMERIN","BMP","MELANOCORTIN","CD137","PDL2","CD46","PTH","AGT","FASLG","CNTN","CDH1","EGF","IL17","CHAD","CX3C","CD30","CSF3","OX40","CSPG4","APELIN","GALANIN","NGL","BRADYKININ","RELN","NPR2","EDA","EDN","VEGI","NGF","PTPRM","NPFF","OCLN"
"Chondrocytes",0,0,0,0,0,0,2.16559465813744,0,0,0,0.451520737582706,0,0.00678454735433031,0,0,0,0.180625873374937,0,0.0201480283360731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335712780805369,0,0,0,0,0,0,0.00243597481529333,0,0,0,0,0,0.00268813909474612,0,0,0,0,0,0,0,0,0,0,0,0.00285869241691596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018320081279564,0,0,0,0.0145743829171982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118754773588335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0.474136603072935,0,0,0,0,0,0.00339158719418466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105773105175841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108110935209893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074932734213687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0.00475772831026134,0,0,0,0,0.471965066678032,0,0,0,0,0,0.00986374748870772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549122211491781,0,0.00432819084211477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348521254640888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192261916656638,0,0,0,0.0214059161099321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0.194989735503358,0,0,0,0,0,0.00966804886016052,0,0,0,0,0,0,0,0,0.361971481490238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021353302823232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295031786777367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208269163674142,0,0,0,0,0,0,0,0,0,0,0,0,0.0181833106489891,0,0,0,0.0178051153336116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0,0,0,0,0,1.49763458076548,0,0,0,0.537845634165722,0.00985275390969165,0.00454130441886599,0,0,0,0.202929453610221,0,0.0360519319251962,0,0,0,0,0,0,0,0,0,0,0.0552831352098815,0,0,0,0,0,0,0,0,0.0202532500154829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00378011850855476,0,0,0,0,0,0.00384251499988136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609686932297903,0,0,0,0.012144597525131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000935622961356548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0.882571230756735,0,0,0,0,0.0217063052927561,0,0,0,0,0,0,0.12604067007477,0.00529775687451654,0.349099189437508,0.307986257861964,0,0,0,0,0,0,0,0.0689681527926999,0,0,0.143051095348642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106792848818063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209107078349729,0,0,0,0,0,0,0,0,0,0,0,0.0303641685547626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176923586824102,0,0.09795494563703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294080601509298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,1.18357077494341,0,0,0,0.0167234604357765,0.00789421317980674,0.00256435920879889,0,0,0,0.0389983064668056,0,0.153235594023656,0.00377859786514839,0.116904094979844,0.242741051516582,0,0,0,0,0,0,0,0.100793135786588,0,0,0.0256735283091345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262841669732706,0,0.144188759831754,0,0,0,0,0,0,0.00432753219234115,0,0,0,0,0,0.0125246468649897,0,0,0,0,0,0,0,0,0,0,0,0.0306496710837039,0,0,0,0,0,0.100338745842589,0,0,0,0,0,0,0,0,0,0,0.00372494028393946,0.0149143552217115,0.0175770941122298,0,0.107484243564334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0,0,0,0,0,0.0788108078616742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173168057227534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814289025874435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160860023535089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,1.56251176173165,0,0,0,0.492857255446751,0.00923667644951905,0.0108206350470078,0,0,0,0.181433506951188,0,0.109666722011412,0,0.104944983966477,0,0.128837176725334,0,0,0,0,0,0,0.0364312660059351,0,0,0,0,0,0,0,0,0.00909051028761162,0,0,0,0,0,0,0,0,0,0,0,0,0.0431148020830428,0,0,0,0,0,0,0.00760712480728631,0,0,0,0,0,0.00976339902275664,0,0,0,0,0,0,0,0,0,0,0,0.0147125520270042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151713672852448,0,0,0.00601675742406318,0.0160091772562869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550401268528733,0,0,0,0,0.0205970322940913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,1.08622883033964,0,0,0,0.16824247649484,0.0194857811407495,0.0095366925241097,0.00241216179624029,0,0,0.142480575263208,0,0.126753697984973,0,0,0.0397757166802335,0.0603578574315895,0,0,0,0,0,0,0.0101571505106808,0,0,0,0,0,0,0,0,0.067193948459397,0,0,0,0,0,0,0,0,0,0,0,0,0.0982313037906683,0,0,0,0,0,0,0.0118804404897191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309484167741196,0,0,0,0,0,0.156530530711671,0,0,0,0,0,0,0,0,0.0134915633729259,0,0,0.00793328936676583,0.0356971195051566,0,0.133556743094664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016265580355074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
