"","GALECTIN","MIF","PARs","SELPLG","ICAM","TGFb","THBS","SELL","MHC-I","COLLAGEN","ANGPTL","VISFATIN","ITGAL-ITGB2","PTN","LAMININ","FN1","CD34","SPP1","MK","SEMA4","VCAM","VWF","ESAM","ANGPT","GRN","JAM","FGF","ADIPONECTIN","APP","CCL","LIGHT","CD52","KIT","CXCL","VEGF","FLT3","PECAM1","PSAP","TENASCIN","PDGF","NRXN","TNF","NOTCH","CD45","MHC-II","TWEAK","IL2","OSM","EPHB","CD200","BST2","IGF","SEMA7","NCAM","IL4","THY1","AGRN","WNT","SELE","GDF","CD96","LIFR","EPHA","ANNEXIN","NODAL","BSP","CD22","SN","CD39","MPZ","IL1","TRAIL","GAS","CDH5","GP1BA","PROS","L1CAM","MELANOCORTIN","IFN-II","HSPG","VTN","IL6","CSF","BAFF","IL16","PERIOSTIN","CDH","AGT","CLEC","LCK","PD-L1","ENHO","SEMA6","COMPLEMENT","LAIR1","SEMA3","CADM","HH","RESISTIN","NRG","CHAD","ncWNT","NKG2D","OX40","DMP1","CEACAM","VISTA","SEMA5","MAG","PDL2","IL12","CLDN","CD86","HGF","CD23","IL7","CD46","SLURP","ICOS","BMP","CX3C","EDA","CD226","PVR","SEMATOSTATIN","ACTIVIN","PTH","CHEMERIN","ALCAM","CD6","ADGRE5","CNTN","CD1D2","CD137","APELIN","IL10","CALCR","BTLA","CSPG4","RANKL","NGL","NPR2","CDH1","IL17","GALANIN","NPFF","OPIOID","CD80","EDN","TAC","RELN","OCLN","PTPRM"
"Chondrocytes",0,0,0,0,0,0,0.0434096623912501,0,0,1.00447506182946,0.194157559533468,0,0,0,0.0041856841639255,0.0505118096533079,0,0,0.113375394484567,0,0,0,0,0,0,0,0.0054859688280145,0.029408383295117,0,0,0,0,0,0,0,0,0,0,0.23022198548894,0,0,0,0,0,0,0.00489887499335231,0,0,0,0,0,0.00153950524081252,0,0.0407753921533119,0,0,0,0.000860153527664835,0,0,0,0,0,0,0,0,0,0,0,0.00709744190663639,0,0,0,0,0,0,0,0,0,0.00477374659713454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149064215590176,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0.0304205595791287,0,0,0,0.0860470248424785,0,0,0,0.0123894269481105,0,0,0,0.0313319500465647,0,0,0,0,0,0,0,0,0.0260460463662413,0,0,0,0,0,0,0.0256930134070221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0.00964946096448703,0,0,0,0.109027700166358,0,0,0,0.0109386608638977,0,0,0,0.0291040300401825,0,0,0,0,0,0,0,0,0.00989206816836489,0,0,0,0,0,0,0.031767025660624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104614728010715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0.0279192718559295,0,0,0,0.108003931753171,0,0,0,0,0,0,0,0.0314421471018285,0,0,0,0,0,0,0,0,0.00938370868795621,0,0,0,0,0,0,0.0243905120883799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150466284853279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868535421350165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0.0270885728285114,0,0,0,0,0.0369517699197801,0,0,0.931898941961832,0.161288624844875,0,0,0,0.0109400260655622,0.0518201889472644,0,0.0549634414185125,0.115616384298737,0,0,0,0,0,0,0,0.0061423122475599,0.0261525045668816,0,0,0,0,0,0.0557665362502634,0,0,0,0,0.201836588377692,0.00181463888928003,0,0,0,0,0,0.00590453968817463,0,0,0,0,0,0,0,0.0271196045060912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857326802699407,0,0,0.0240906232393862,0,0,0,0.00582913267060824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858822967487312,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0.0235841244173923,0,0,0.694226119895515,0.254635362634944,0,0,0,0.00639870233316068,0.027536033754907,0,0,0.0938851484971291,0,0,0,0,0,0,0,0.0120408748961073,0.00751133678899121,0,0.019908469131241,0,0,0,0,0,0,0,0,0.191448043680125,0.0119180170484627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241562464721898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862984395735879,0,0,0,0,0,0,0,0,0,0.00729540218568083,0,0,0,0,0,0,0.0779980897878141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0.0278258036162306,0,0,0.612671551601791,0.283735545848314,0,0,0,0.00394687615786918,0.0479465760621084,0,0.1772729241223,0.131208527863182,0,0,0,0,0,0,0,0.0294638505393639,0.00726036272592913,0,0.0174760196277912,0,0,0,0,0,0,0,0,0.167367187842206,0.00942076436604975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137582435257724,0,0,0,0,0,0,0,0,0,0,0,0.0779505685215176,0,0,0,0.00857310579591802,0,0,0,0,0,0,0,0,0,0.0045015392266693,0,0,0,0,0,0.0389059829721867,0.0860534505716224,0,0,0,0,0,0,0,0,0,0.0628165692969319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0.030931569491131,0,0,0,0,0.0354955296876328,0,0,0.734447918048367,0.120083467186569,0,0,0,0.0231853857957111,0.0413588473952094,0,0,0.0934024917187422,0,0,0,0,0,0,0,0.0200273052919775,0.00991052793213682,0,0,0,0,0,0.0634128358211728,0,0,0,0,0.195199437298706,0,0,0,0,0,0,0.0334622397589145,0,0,0,0,0,0,0,0.170287261860952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263720954558649,0,0,0,0,0,0,0.00722877111988465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0.039825034862751,0,0,1.3036280892547,0.252012527694158,0,0,0,0.00988626844268868,0.0696688112638226,0,0.22361352482391,0.146918578170358,0,0,0,0,0,0,0,0.0261503436096509,0.0222060606692861,0,0,0,0,0,0,0,0,0,0,0.226966804114287,0.00447665083898074,0,0,0,0,0,0.0132290692652588,0,0,0,0,0,0,0,0.110256529741432,0,0,0,0.000322758445493327,0,0,0,0,0,0,0,0.0753525084752497,0,0,0,0.00780198673345878,0,0,0.0304679797822877,0,0,0.00820481582461133,0,0,0,0.00521949778703341,0,0,0,0,0,0.037556257490632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0.00256435920879889,0.0167234604357765,0,0,1.18357077494341,0.242741051516582,0,0,0,0.00789421317980674,0.0389983064668056,0,0.153235594023656,0.116904094979844,0,0,0,0,0,0,0,0.0262841669732706,0.0256735283091345,0,0.00377859786514839,0,0,0,0,0,0,0,0,0.100793135786588,0.00432753219234115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144188759831754,0,0,0,0,0,0,0,0,0,0,0,0.0306496710837039,0,0,0,0.0175770941122298,0,0,0.0125246468649897,0,0,0,0,0,0,0,0,0,0,0,0,0.0149143552217115,0.107484243564334,0,0,0,0,0,0,0,0,0,0.100338745842589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00372494028393946,0,0,0,0,0,0,0,0,0,0,0,0,0
